wbhao,n,share
White,96225440.30997722,0.5975379952440271
Black,20436415.846035004,0.1269054723498819
Other,1706609.8009999592,0.01059765687606408
Hispanic,30342812.351584118,0.18842193087633344
Asian,12325243.345026651,0.07653694465369348
